Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
3.1.81,CULL_FLD,"Rotten/missing cull, field recorded",NUMBER(2),"(core: ω5.0-inch live trees; core optional: ω5.0-inch standing dead trees) The percentage rotten or missing cubic-foot cull volume, estimated to the nearest 1 percent. This estimate does not include any cull estimate above actual length; therefore volume lost from a broken top is not included (see CULL for percent cull including cull from broken top). When field crews estimate volume loss (tree cull), they only consider the cull on the merchantable bole of the tree, from a 1-foot stump to a 4-inch top diameter outside bark (DOB). For woodland species, the merchantable portion is between the point of d.r.c. measurement to a 1.5-inch top DOB."
3.1.82,RECONCILECD,Reconcile code ,NUMBER(1),"A code indicating the reason a tree either enters or is no longer a part of
the inventory. Only recorded for remeasurement locations.
Notes:
• Starting with PLOT.MANUAL = 9.0, codes 1-2 are only valid for new trees (STATUSCD = 1, 2) on the plot and exclude trees associated with a change in procedures/definitions or previous cruiser error, as such trees are accounted for with RECONCILECD = 7 or 8. Codes 6-9 are valid for both new tally trees and remeasured trees that no linger qualify
as tally.
• When PLOT.MANUAL = 7.0 through 8.0, standing dead saplings that were not included in the previous inventory were assigned RECONCILECD = 4."
3.1.83,PREVDIA,Previous diameter ,"NUMBER(5,2)","The previous diameter, in inches, of the sample tree at the point of
diameter measurement. Populated for remeasured trees."
3.1.84,P2A_GRM_FLG,"Periodic to annual growth, removal, and mortality flag",VARCHAR2(1),"A code indicating if this tree is part of a periodic inventory that is only included for the purposes of computing growth, removals and/or mortality estimates. The flag is set to 'Y' for those trees that are needed for estimation and otherwise is left blank (null)."
3.1.85,TREECLCD_NERS,"Tree class code, Northeastern
Research Station",NUMBER(2),"In annual inventory, this code represents a classification of the overall quality of a tree that is ω5.0 inches d.b.h. It classifies the quality of a sawtimber tree based on the present condition, or it classifies the quality of a poletimber tree as a prospective determination (i.e., a forecast of potential quality when and if the tree becomes sawtimber size). For more detailed description, see the regional field guide located at the NRS Data Collection web page (https://research.fs.usda.gov/nrs/programs/fia). Only populated by certain FIA work units (SURVEY.RSCD = 24)."
3.1.86,TREECLCD_SRS,"Tree class code, Southern Research Station",NUMBER(2),"A code indicating the general quality of the tree. Prior to the merger of the Southern and Southeastern Research Stations (INVYR 1997), a growing-stock classification (code 2) was only assigned to species that were considered to have commercial value. Since the merger (INVYR >1997), code 2 has been applied to all tree species meeting the growing-stock form, grade, size and soundness requirements, regardless of commercial value. Only populated by certain FIA work units (SURVEY.RSCD = 33)."
3.1.87,TREECLCD_NCRS,"Tree class code, North Central
Research Station",NUMBER(2),"In annual inventory, a code indicating tree suitability for timber products, or the extent of decay in the butt section of down-dead trees. It is recorded on live standing, standing-dead, and down dead trees that are ω1.0 inch d.b.h. Tree class is basically a check for the straightness and soundness of the sawlog portion on a sawtimber tree or the potential sawlog portion on a poletimber tree or sapling. ""Sawlog portion"" is defined as the length between the 1-foot stump and the 9.0-inch top diameter of outside bark, DOB, for hardwoods, or the 7.0-inch top DOB for softwoods. For more detailed description, see the regional field guide located at the NRS Data Collection web page (https://research.fs.usda.gov/nrs/programs/fia). Only populated by certain FIA work units (SURVEY.RSCD = 23)."
3.1.88,TREECLCD_RMRS,"Tree class code, Rocky Mountain Research Station",NUMBER(2),A code indicating the general quality of the tree. Only populated by certain FIA work units (SURVEY.RSCD = 22).
3.1.89,STANDING_DEAD_CD,Standing dead code,NUMBER(2),"A code indicating if a tree qualifies as standing dead. To qualify as a standing dead tally tree, the dead tree must be ω1.0 inch d.b.h., have a bole that has an unbroken actual length (ACTUALHT) ω4.5 feet, and lean <45 degrees from vertical as measured from the base of the tree to 4.5 feet. For woodland species with multiple stems, a tree is considered down if more than 2/3 of the volume is no longer attached or upright;
cut and removed volume is not considered. For woodland species with single stems to qualify as a standing dead tally tree, dead trees must be ω1.0 inch d.r.c., be ω1.0 foot in unbroken actual length (ACTUALHT), and lean <45 degrees from vertical.
Populated where PLOT.MANUAL ω2.0; may be populated using information collected on dead trees in earlier inventories for dead trees.
Note: Starting with PLOT.MANUAL = 7.0, the core minimum diameter to qualify for a standing dead tree was changed from 5.0 inches to 1.0 inch."
3.1.90,PREV_STATUS_CD,Previous tree status code ,NUMBER(1),"Tree status that was recorded at the previous inventory on all tally trees ω1.0 inch d.b.h./d.r.c. Includes all new standing dead trees (STATUSCD = 2, STANDING_DEAD_CD = 1, RECONCILECD >0)."
3.1.91,PREV_WDLDSTEM,Previous woodland stem count ,NUMBER(3),Woodland tree species stem count that was recorded at the previous inventory.
3.1.92,TPA_UNADJ,Trees per acre unadjusted ,"NUMBER(11,6)","The number of trees per acre that the sample tree theoretically represents based on the sample design. For fixed-radius plots taken with the mapped plot design (PLOT.DESIGNCD = 1), TPA_UNADJ is set to a constant derived from the plot size and equals 6.018046 for trees sampled on subplots, 74.965282 for trees sampled on microplots, and 0.999188 for trees sampled on macroplots. Variable-radius plots were often used in earlier inventories, so the value in TPA_UNADJ decreases as the tree diameter increases. Based on the procedures described in Bechtold and Patterson (2005), this attribute must be adjusted using factors stored in the POP_STRATUM table to derive population estimates. Examples of estimating population totals are shown in The
Forest Inventory and Analysis Database: Population Estimation User Guide."
3.1.93,DRYBIO_BOLE,Dry biomass of wood in the merchantable bole,"NUMBER(13,6)","The oven-dry biomass, in pounds, of wood in the merchantable bole of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h., from a 1-foot stump to a minimum 4-inch top diameter. Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.94,DRYBIO_STUMP,Dry biomass of wood in the stump ,"NUMBER(13,6)","The oven-dry biomass, in pounds, of wood in the stump of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The stump is that portion of the tree from the ground line to the bottom of the merchantable bole (i.e., below 1 foot). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.95,DRYBIO_BG,Belowground dry biomass ,"NUMBER(13,6)","The oven-dry biomass, in pounds, of the belowground portion of a tree, including coarse roots with a root diameter ω0.1 inch. This is a modeled estimate, calculated for live and standing dead trees ω1.0 inch d.b.h./d.r.c. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. Refer to appendix K for information on FIA volume, biomass, and carbon estimation.
Note: Not populated for standing dead saplings (1.0-4.9 inches d.b.h./d.r.c.) when PLOT.MANUAL <7.0."
3.1.96,CARBON_AG,Aboveground carbon of wood and bark,"NUMBER(13,6)","The carbon, in pounds, of wood and bark in the aboveground portion, excluding foliage, of live and standing dead trees ω1.0 inch d.b.h./d.r.c. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. The amount of carbon is calculated based on applying species-specific carbon fractions to the aboveground biomass:
CARBON_AG = REF_SPECIES.CARBON_RATIO_LIVE * DRYBIO_AG
This attribute is populated for all tree species tallied in the continental U.S. as well as both the Caribbean and Pacific Islands, including Hawaii (refer to the FIA Master Tree Species List, available at the following web address: https://www.fia.fs.usda.gov/library/field-guides-methods-proc/). Refer to appendix K for information on FIA volume, biomass, and carbon estimation.
Note: Not populated for standing dead saplings (1.0-4.9 inches d.b.h./d.r.c.) when PLOT.MANUAL <7.0."
3.1.97,CARBON_BG,Belowground carbon,"NUMBER(13,6)","The carbon, in pounds, of the belowground portion of a tree, including coarse roots with a root diameter ω0.1 inch. Calculated for live and standing dead trees ω1.0 inch d.b.h./d.r.c. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. The amount of carbon is calculated based on applying species-specific carbon fractions to the belowground biomass: CARBON_BG = REF_SPECIES.CARBON_RATIO_LIVE * DRYBIO_BG Refer to appendix K for information on FIA volume, biomass, and carbon estimation.
Note: Not populated for standing dead saplings (1.0-4.9 inches d.b.h./d.r.c.) when PLOT.MANUAL <7.0."
3.1.98,CYCLE,Inventory visit number ,NUMBER(2),"A number assigned to a set of plots, measured over a particular period of time from which a State estimate using all possible plots is obtained. A cycle number >1 does not necessarily mean that information for previous cycles resides in the database. A cycle is relevant for periodic and annual inventories."
3.1.99,SUBCYCLE,Inventory subcycle number ,NUMBER(2),"For an annual inventory that takes n years to measure all plots, subcycle shows in which of the n years of the cycle the data were measured. Subcycle is 0 for a periodic inventory. Subcycle 99 may be used for plots that are not included in the estimation process."
3.1.100,BORED_CD_PNWRS,"Tree bored code, Pacific Northwest Research Station",NUMBER(1),Used in conjunction with tree age (BHAGE and TOTAGE). Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.101,DAMLOC1_PNWRS,"Damage location 1, Pacific
Northwest Research Station",NUMBER(2),The location on the tree where Damage Agent 1 is found. Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.102,DAMLOC2_PNWRS,"Damage location 2, Pacific
Northwest Research Station",NUMBER(2),See DAMLOC1_PNWRS. Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.103,DIACHECK_PNWRS,"Diameter check, Pacific Northwest Research Station",NUMBER(1),"A separate estimate of the diameter without the obstruction if the diameter was estimated because of moss/vine/obstruction, etc. Only populated by certain FIA work units (SURVEY.RSCD = 26)."
3.1.104,DMG_AGENT1_CD_PNWRS,"Damage agent 1,  Pacific Northwest Research Station",NUMBER(2),"Primary damage agent code in PNWRS. Up to three damaging agents can be coded in PNWRS as DMG_AGENT1_CD_PNWRS, DMG_AGENT2_CD_PNWRS, and DMG_AGENT3_CD_PNWRS. A 2-digit code (with values from 01 to 99) indicating the tree damaging agent that is considered to be of greatest importance to predict tree growth, survival, and forest composition and structure. Additionally, there are two classes of damaging agents. Class I damage agents are considered more important than class II agents and are thus coded as a primary agent before the class II agents. For more information, see appendix I. Only populated by certain FIA work units (SURVEY.RSCD = 26)."
3.1.105,DMG_AGENT2_CD_PNWRS,"Damage agent 2,  Pacific Northwest Research Station",NUMBER(2),"See DMG_AGENT1_CD_PNWRS.
Only populated by certain FIA work units (SURVEY.RSCD = 26)."
3.1.106,DMG_AGENT3_CD_PNWRS,"Damage agent 3,  Pacific Northwest Research Station",NUMBER(2),"See DMG_AGENT1_CD_PNWRS.
Only populated by certain FIA work units (SURVEY.RSCD = 26)."
3.1.107,MIST_CL_CD_PNWRS,"Leafy mistletoe class code, Pacific Northwest Research Station",NUMBER(1),"All juniper species, incense cedars, white fir (CA only) and oak trees are rated for leafy mistletoe infection. This item is used to describe the extent and severity of leafy mistletoe infection (see MIST_CL_CD for dwarf mistletoe information). Only populated by certain FIA work units
(SURVEY.RSCD = 26)."
3.1.108,SEVERITY1_CD_PNWRS,"Damage severity 1, Pacific
Northwest Research Station",NUMBER(1),"Damage severity depends on the damage agent coded (see appendix I for codes). This is a 2-digit code that indicates either percent of location damaged (01-99), or the appropriate class of damage (values vary from 0-9 depending on the specific Damage Agent). Only populated by certain FIA work units (SURVEY.RSCD = 26)."
3.1.109,SEVERITY1A_CD_PNWRS,"Damage severity 1A, Pacific
Northwest Research Station",NUMBER(2),"Damage severity depends on the damage agent coded (see appendix I for codes). This is a 2-digit code indicating either percent of location damaged (01-99), or the appropriate class of damage (values vary from 0-4 depending on the specific Damage Agent). Only populated by certain FIA work units (SURVEY.RSCD = 26)."
3.1.110,SEVERITY1B_CD_PNWRS,"Damage severity 1B, Pacific
Northwest Research Station",NUMBER(1),Damage severity B is only coded when the Damage Agent is white pine blister rust (36). Only populated by certain FIA work units (SURVEY.RSCD= 26).
3.1.111,SEVERITY2_CD_PNWRS,"Damage severity 2, Pacific
Northwest Research Station",NUMBER(1),"Damage severity depends on the damage agent coded (see appendix I for codes). This is a 2-digit code indicating either percent of location damaged (01-99), or the appropriate class of damage (values vary from 0-9 depending on the specific Damage Agent). Only populated by certain FIA work units (SURVEY.RSCD= 26)."
3.1.112,SEVERITY2A_CD_PNWRS,"Damage severity 2A, Pacific
Northwest Research Station",NUMBER(2),See SEVERITY1A_CD_PNWRS. Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.113,SEVERITY2B_CD_PNWRS,"Damage severity 2B, Pacific
Northwest Research Station",NUMBER(1),See SEVERITY1B_CD_PNWRS. Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.114,SEVERITY3_CD_PNWRS,"Damage severity 3, Pacific
Northwest Research Station",NUMBER(1),"Damage severity depends on the damage agent coded (see appendix I for codes). This is a 2-digit code indicating either percent of location damaged (01-99), or the appropriate class of damage (values vary
from 0-9 depending on the specific Damage Agent). Only populated by certain FIA work units (SURVEY.RSCD = 26)."
3.1.115,UNKNOWN_DAMTYP1_PNWRS,"Unknown damage type 1, Pacific Northwest Research Station",NUMBER(1),A code indicating the sign or symptom recorded when UNKNOWN damage code 90 is used. Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.116,UNKNOWN_DAMTYP2_PNWRS,"Unknown damage type 2, Pacific Northwest Research Station",NUMBER(1),See UNKNOWN_DAMTYP1_PNWRS. Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.117,PREV_PNTN_SRS,"Previous periodic prism point, tree number, Southern Research Station",NUMBER(4),"In some older Southeast Experiment Station States, the prism point, tree number (PNTN) of the current cycle did not match the previous cycle's prism point, tree number. PREV_PNTN_SRS is used to join the current and the previous prism plot trees. Not populated for the Caribbean Islands."
3.1.118,DISEASE_SRS,"Disease, Southern Research Station ",NUMBER(1),"A code indicating the incidence of fusiform, comandra rust or dieback. Dieback is only recorded for live hardwood trees where DIA ω5.0 inches with at least 10 percent dieback. Fusiform and comandra rust are only recorded for live pine trees ω5.0 inches d.b.h. with the following species codes: 110, 111, 121, 126, 128, or 131. Populated for all forested plots using the National Field Guide protocols (PLOT.MANUAL = 1.6-5.1). Only populated by certain FIA work units (SURVEY.RSCD= 33)."
3.1.119,DIEBACK_SEVERITY_SRS,"Dieback severity, Southern Research Station",NUMBER(2),A code indicating the severity of hardwood crown dieback. Populated when DISEASE_SRS = 2. Populated for all forested plots using the National Field Guide protocols (PLOT.MANUAL = 1.6-5.1). Only populated by certain FIA work units (SURVEY.RSCD = 33).
3.1.120,DAMAGE_AGENT_CD1,Damage agent code 1 ,NUMBER(5),"(core: all live tally trees ω5.0 inches d.b.h./d.r.c; core optional: all live tally trees ω1.0 inch d.b.h./d.r.c.) A code indicating the first damage agent recorded by the field crew when inspecting the tree from bottom to top (roots, bole, branches, foliage). Up to three damage agents can be recorded per tree (DAMAGE_AGENT_CD1, DAMAGE_AGENT_CD2, and DAMAGE_AGENT_CD3). Damage agents are not necessarily recorded in order of severity.The codes used for damage agents come from the January 2012 Pest Trend Impact Plot System (PTIPS) list from the Forest Health Assessment and Applied Sciences Team (FHAAST) that has been modified to meet FIA's needs. The list is modified by each region to meet the specific needs of that region. The general agent codes are listed here. See appendix H for the complete list of codes.
Note: Starting with PLOT.MANUAL = 9.4, damage agent code = 90001 (broken top) was retired and replaced with TREE.ABNORMAL_TERMINATION."
3.1.121,DAMAGE_AGENT_CD2,Damage agent code 2,NUMBER(5),(core: all live tally trees ω5.0 inches d.b.h./d.r.c; core optional: all live tally trees ω1.0 inch d.b.h./d.r.c.) See DAMAGE_AGENT_CD1.
3.1.122,DAMAGE_AGENT_CD3,Damage agent code 3,NUMBER(5),(core: all live tally trees ω5.0 inches d.b.h./d.r.c; core optional: all live tally trees ω1.0 inch d.b.h./d.r.c.) See DAMAGE_AGENT_CD1.
3.1.123,CENTROID_DIA,Centroid diameter (Pacific Islands) ,"NUMBER(4,1)","The outside bark diameter, in inches, measured at CENTROID_DIA_HT_ACTUAL. For tree ferns, diameter is measured where the fronds emerge from the trunk. Only populated by certain FIA work units (SURVEY.RSCD = 26) for the Pacific Islands. This diameter is part of the upper stem diameter protocol that began with remeasurement, except for Hawaii, where the protocol was implemented in the first measurement."
3.1.124,CENTROID_DIA_HT,Calculated centroid diameter height (Pacific Islands),"NUMBER(4,1)","The height, in feet, to stem centroid. The stem centroid is located at 30 percent of the total length (HT) of the stem. Only populated by certain FIA work units (SURVEY.RSCD = 26) for the Pacific Islands. This height is part of the upper stem diameter protocol that began with the first remeasurement, except for Hawaii, where the protocol was implemented in the first measurement."
3.1.125,CENTROID_DIA_HT_ACTUAL,Actual centroid diameter height (Pacific Islands),"NUMBER(4,1)","The height, in feet, to where stem centroid diameter was actually measured. It may differ from CENTROID_DIA_HT if abnormalities in the stem prevented a normal diameter measurement. Only populated by certain FIA work units (SURVEY.RSCD = 26) for the Pacific Islands. This height is part of the upper stem diameter protocol that began with the first remeasurement, except for
Hawaii, where the protocol was implemented in the first measurement."
3.1.126,UPPER_DIA,"Upper stem diameter (Pacific
Islands)","NUMBER(4,1)","The outside bark upper stem diameter, in inches, measured at least 3 feet above the point where DIA was taken. For larger trees, UPPER_DIA was recorded at the point where the main stem was at least 4.0 inches in diameter. This diameter is used in the calculation of stem taper, needed to improve the estimation of stem volume. Only populated by certain FIA work units (SURVEY.RSCD = 26) for the Pacific Islands. This is the legacy upper stem diameter protocol and will not be collected after the first remeasurement."
3.1.127,UPPER_DIA_HT,Upper stem diameter height (Pacific Islands),"NUMBER(4,1)","The height, in feet, to where upper stem diameter (UPPER_DIA) was measured. Only populated by certain FIA work units (SURVEY.RSCD= 26) for the Pacific Islands. This is the legacy upper stem diameter protocol and will not be collected after the first remeasurement."
3.1.128,VOLCSSND,Sound cubic-foot wood volume in the sawlog portion of a sawtimber tree,"NUMBER(11,6)","The sound cubic-foot volume of wood in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches minimum d.b.h. for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods) or to where the central stem breaks into limbs, all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber-size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Does not include rotten and missing cull (volume loss due to rotten and missing cull defect has been deducted). Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.129,DRYBIO_SAWLOG,Dry biomass of wood in the sawlog portion of a sawtimber tree,"NUMBER(13,6)","The oven-dry biomass, in pounds, of wood in the sawlog portion of timber species trees of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches minimum d.b.h. for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods) or to where the central stem breaks into limbs, all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods) and standing dead trees. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.130,DAMAGE_AGENT_CD1_SRS,"Damage agent code 1 (Caribbean Islands), Southern Research Station",NUMBER(5),"A code indicating the first damage agent observed when inspecting the tree from bottom to top (roots, bole, branches, foliage). Up to three damage agents can be recorded (DAMAGE_AGENT_CD1_SRS, DAMAGE_AGENT_CD2_SRS, DAMAGE_AGENT_CD3_SRS). If more than one agent is observed, the most threatening one is listed first where agents threatening survival are listed first and agents threatening wood quality second. The codes used for damage agents come from the January 2012 Pest Trend Impact Plot System (PTIPS) list from the Forest Health Assessment and Applied Sciences Team (FHAAST) that has been modified to meet FIA's needs. See appendix H for the complete list of codes. Only populated by certain FIA work units (SURVEY.RSCD = 33) for the Caribbean Islands."
3.1.131,DAMAGE-AGENT_CD2_SRS,"Damage agent code 2 (Caribbean Islands), Southern Research Station",NUMBER(5),See DAMAGE_AGENT_CD1_SRS.
3.1.132,DAMAGE_AGENT_CD3_SRS,"Damage agent code 3 (Caribbean Islands), Southern Research Station",NUMBER(5),See DAMAGE_AGENT_CD1_SRS.
3.1.133,DRYBIO_AG,Aboveground dry biomass of wood and bark,"NUMBER(13,6)","The oven-dry biomass, in pounds, of wood and bark in the aboveground portion, excluding foliage, of live and standing dead trees ω1.0 inch d.b.h./d.r.c. This is a per tree value and must be multiplied by TPA_UNADJ to
obtain per acre information. Refer to appendix K on FIA volume, biomass, and carbon estimation.
Note: Not populated for standing dead saplings (1.0-4.9 inches d.b.h./d.r.c.) when PLOT.MANUAL <7.0."
3.1.134,ACTUALHT_CALC,"Actual height, calculated",NUMBER(3),The calculated length (height) of the tree to the nearest foot from ground level to the highest remaining portion of the tree still present and attached to the bole. The calculations are made using regional methods.
3.1.135,ACTUALHT_CALC_CD,"Actual height, calculated, code",NUMBER(1),"A code identifying the method used to calculate the ACTUALHT_CALC value. Only populated by certain FIA work units (SURVEY.RSCD = 24). For more information about regional methods, contact the appropriate FIA work unit (table 1-1)."
3.1.136,CULL_BF_ROTTEN,Rotten/missing board-foot cull of the sawlog,"NUMBER(12,9)","The percent of volume within the recorded sawlog length (SAWHT) that cannot be used to produce boards, because of rot or missing sections of the bole. Does not include cull due to sweep, crook, excessive branches (e.g., whorls), large limbs and other defects. Only populated by certain FIA work units (SURVEY.RSCD= 24). Not collected for all years or States."
3.1.137,CULL_BF_ROTTEN_CD,Rotten/missing board-foot cull of the sawlog code,NUMBER(2),A code indicating if the CULL_BF_ROTTEN attribute is not null. Only populated by certain FIA work units (SURVEY.RSCD = 24). Not collected for all years or States.
3.1.138,CULL_BF_ROUGH,Rough board-foot cull of the sawlog ,"NUMBER(12,9)","The percent of volume within the recorded sawlog length (SAWHT) that cannot be used to produce boards, because of sweep, crook, excessive branches (e.g., whorls), large limbs and other defects. Does not include cull due to rot. Only populated by certain FIA work units (SURVEY.RSCD = 24). Not collected for all years or States."
3.1.139,CULL_BF_ROUGH_CD,Rough board-foot cull of the sawlog code,NUMBER(2),A code indicating if the CULL_BF_ROUGH attribute is not null. Only populated by certain FIA work units (SURVEY.RSCD = 24). Not collected for all years or States.
3.1.140,PREVDIA_FLD,"Previous diameter, field",NUMBER,"The previous diameter, in inches, of the sample tree at the point of diameter measurement, if the value was updated by the current field crew.
Note: PREVDIA differs from PREVDIA_FLD when the field crew updates the downloaded value in the data collection program.
• PREVDIA - This value is the downloaded diameter from the previous inventory record.
• PREVDIA_FLD - This value is the editable field."
3.1.141,TREECLCD_31_NCRS,"Tree class code (version 3.1), North Central Research Station",NUMBER(1),"A classification of the general quality of a tree that is ω5.0 inches d.b.h. It classifies the quality of a live sawtimber tree based on the present condition. It also forecasts the potential quality of a live poletimber tree when it becomes sawtimber size. For standing dead trees, it identifies those trees that could be salvaged for wood fiber (e.g., chips) if a salvage operation was imminent.
Collected on all live and dead trees ω5.0 inches d.b.h. for States in the NCRS region (SURVEY.RSCD = 23) for PLOT.MANUAL_NCRS ω3.0."
3.1.142,TREE_GRADE_NCRS,"Tree grade, North Central Research Station",NUMBER(3),"A 3-digit code indicating the quality of sawtimber-sized trees that have a TREECLCD_NCRS of 20 or 31. The first digit indicates the grade and the second and third digits represent the limiting factor for hardwood grades.
Minimum sawlog length for tree grades is 12 feet and for log grades is 8 feet. Sawlog lengths do not extend above large forks, have excessive limbs or other defects, or have a section of the tree bole that does not meet minimum log grade specification. Limitations or ""stoppers"" for all softwoods and for hardwood grades 1, 2 and 3 include: any limb (live or dead) having a collar diameter exceeding the stem DOB at that point; or any group of 2.0-inch collar diameter or larger limbs (live or dead), within a 1-foot span, having a combined sum of diameters greater than the stem DOB of that section. Limitations for grade 4 hardwoods include: any limb or group of limbs, within a 1 foot span, with a collar diameter or sum of collar diameters greater than 1/3 of the stem DOB of that section.
Data collected for States in the NCRS region (SURVEY.RSCD = 23) in inventory years 1999-2009, PLOT.MANUAL_NCRS = 1.0-4.0. Refer to PLOT.MANUAL_NCRS for additional information (such as tables on tree grades and standard specifications for logs).
First digit:
• For a hardwood sawtimber tree (TREECLCD_NCRS = 20), the grade of the sawlog portion of the tree is based on ""Hardwood Tree Grades for Factory Lumber"" (Hanks 1976). 
• For a softwood sawtimber tree (TREECLCD_NCRS = 20), the grade is based on the portion of the log that gives the best grade. For a softwood, where TREECLCD_NCRS = 31, the grade is based on the log that is present.
Second and third digits:
• For hardwoods with a grade 2, 3, 4, or 5, the second and third digit indicate the limiting quality factor that is keeping the log from moving into a better quality grade. For hardwood logs with a grade 5, the second digit is a 2 or 7 when an 8-foot log is present. If a 12-foot upper log is present, the second digit is 6.
• For softwoods, the second and third digits are always '00'."
3.1.143,BOUGHS_AVAILABLE_NCRS,"Balsam fir boughs available, North Central Research Station",NUMBER(1),"A code indicating if harvestable balsam fir boughs are present on trees ω1.0 inch d.b.h. Boughs are harvestable if they occur in the bottom 7.5 feet of the tree and there is at least one branch no larger in diameter than a pencil where clipped and they are at least 18 inches in length with live needles.
Data populated for States in the NCRS region (SURVEY.RSCD = 23) for PLOT.MANUAL_NCRS = 2.0-3.0 (INVYR = 2004-2006). Only populated in Minnesota for PLOT.MANUAL_NCRS = 3.1-4.0 (INVYR in 2007, 2008)."
3.1.144,BOUGHS_HRVST_NCRS,"Balsam fir boughs harvested, North Central Research Station",NUMBER(1),"A code indicating whether or not balsam fir boughs were harvested on trees ω1.0 inch d.b.h.
Data populated for States in the NCRS region (SURVEY.RSCD = 24) for
PLOT.MANUAL_NCRS = 2.0-3.0 (INVYR = 2004-2006). Only populated in Minnesota for PLOT.MANUAL_NERS = 3.1-4.0 (INVYR in 2007, 2008)."
3.1.145,TREECLCD_31_NERS,"Tree class code (version 3.1),
Northeastern Research Station",NUMBER(1),"A classification of the general quality of a tree that is ω5.0 inches d.b.h. It classifies the quality of a live sawtimber tree based on the present condition. It also forecasts the potential quality of a live poletimber tree when it becomes sawtimber size. For standing dead trees, it identifies trees that could be salvaged for wood fiber (e.g., chips) if a salvage operation was imminent. Implemented beginning with PLOT.MANUAL_NERS = 3.1 (inventory year 2007)
of the field guide.
Data collected as follows (SURVEY.RSCD = 24):
• All trees ω5.0 inches d.b.h./d.r.c. when STATUSCD = 1 or 2 and STANDING_DEAD_CD_NERS = 1.
• Annual data inventory years 2007 to present."
3.1.146,AGENTCD_NERS,"General damage / cause of death (agent) code, Northeastern Research Station",NUMBER(2),"The cause of death for all trees since the previous survey. Also used as a damage indicator for periodic surveys until 2000.
Data collected as follows (SURVEY.RSCD = 24):
• Annual data through inventory year 2006, except Ohio (39).
• Last periodic for CT, DE, MD, MA, NH, NJ, NY, RI, VT and WV:
1993: New York (36)
1997: New Hampshire (33), Vermont (50)
1998: Connecticut (9), Massachusetts (25), Rhode Island (44)
1999: Delaware (10), Maryland (24), New Jersey (34)
2000: West Virginia (54)"
3.1.147,BFSNDCD_NERS,"Board-foot soundness code,
Northeastern Research Station",NUMBER(1),"A code based on percentage of board-foot cull that is sound cull. Sound cull is caused by form defects: sweep, crook, limbs and forks.
Data collected as follows (SURVEY.RSCD = 24):
• Live and dead trees, ω9.0 inches d.b.h. if softwood, and ω11.0 inches d.b.h. if hardwood.
• Annual data through inventory year 2006, except Ohio (39).
• Last periodic for CT, DE, MD, MA, NH, NJ, NY, RI, VT and WV:
1993: New York (36)
1997: New Hampshire (33), Vermont (50)
1998: Connecticut (9), Massachusetts (25), Rhode Island (44)
1999: Delaware (10), Maryland (24), New Jersey (34)
2000: West Virginia (54)"
3.1.148,AGECHKCD_RMRS,"Radial growth and tree age check code, Rocky Mountain Research Station",NUMBER(1),"A code indicating the method used to obtain radial growth and tree age. Only populated by certain FIA work units (SURVEY.RSCD = 22).
Note: Code 3 was added starting with PLOT.MANUAL = 6.0."
