table_id,column_id,of_variable,of_type,with_entry
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Packalen, Maara (maara.packalen@mail.utoronto.ca)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Packalen, Maara (maara.packalen@mail.utoronto.ca)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Packalen, Maara (maara.packalen@mail.utoronto.ca)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Packalen, Maara (maara.packalen@mail.utoronto.ca) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Packalen, Maara (maara.packalen@mail.utoronto.ca) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Packalen, Maara (maara.packalen@mail.utoronto.ca)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Packalen, Maara (maara.packalen@mail.utoronto.ca)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Packalen, Maara (maara.packalen@mail.utoronto.ca)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Packalen, Maara (maara.packalen@mail.utoronto.ca)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Lamarre, Alexandre (lamarrealex@hotmail.com)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Lamarre, Alexandre (lamarrealex@hotmail.com) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Lamarre, Alexandre (lamarrealex@hotmail.com) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Lamarre, Alexandre (lamarrealex@hotmail.com)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Lamarre, Alexandre (lamarrealex@hotmail.com)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Lamarre, Alexandre (lamarrealex@hotmail.com)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Lamarre, Alexandre (lamarrealex@hotmail.com)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Garneau, Michelle (https://orcid.org/0000-0002-1956-9243, garneau.michelle@uqam.ca)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Garneau, Michelle (https://orcid.org/0000-0002-1956-9243, garneau.michelle@uqam.ca) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Garneau, Michelle (https://orcid.org/0000-0002-1956-9243, garneau.michelle@uqam.ca) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Garneau, Michelle (https://orcid.org/0000-0002-1956-9243, garneau.michelle@uqam.ca)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Garneau, Michelle (https://orcid.org/0000-0002-1956-9243, garneau.michelle@uqam.ca)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Garneau, Michelle (https://orcid.org/0000-0002-1956-9243, garneau.michelle@uqam.ca)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Garneau, Michelle (https://orcid.org/0000-0002-1956-9243, garneau.michelle@uqam.ca)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Camill, Philip (pcamill@bowdoin.edu) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Camill, Philip (pcamill@bowdoin.edu)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,uncalibrated
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Samp thick [cm],layer_thickness,description,"Sample thickness [cm] (Samp thick) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Samp thick [cm],layer_thickness,unit,cm
core,Samp thick [cm],layer_thickness,value,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Uncalibrated date"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Holmquist, James R (https://orcid.org/0000-0003-2546-6766, james.holmquist@gmail.com) COMMENT: Lab uncertainty"
